"orgname","codedef01","mission"
"CELEBRATE INDIA ","Arts, Culture, and Humanities","Purpose of Celebrate India is to educate local people about the culture of India, its history, heritage, and ethnic diversity through celebration of cultural and non cultural events and activities that symbolize different parts of India."
"SOUTH JERSEY BLACK HERITAGE MUSEUMA NEW JERSEY NON PROFIT CORPORATION","Arts, Culture, and Humanities","South Jersey Black Heritage Museum seeks to educate and inform the community of Greater Philadelphia about the accomplishments of African Americans in the country, with a strong emphasis on the contributions in the field of Law Enforcement."
"TKDUBS PRODUCTIONS ","Arts, Culture, and Humanities","TKDubs supports the roots music community by organizing benefit events and projects, producing quality content for distribution to non-commercial radio stations, and administering micro-grants to minority artists."
"SOUTH JERSEY BLACK HERITAGE MUSEUM A NEW JERSEY NON PROFIT CORPORATION","Arts, Culture, and Humanities","South Jersey Black Heritage Museum seeks to educate and inform the community of Greater Philadelphia about the accomplishments of African Americans in the country, with a strong emphasis on the contributions in the field of Law Enforcement."
"MONO CORD FOUNDATION ","Arts, Culture, and Humanities","cultural preservation through diversity by preserving the arts, music, and languages"
"STREETLIGHT GUILD ","Arts, Culture, and Humanities","To promote appreciation and development of cultural and artistic efforts of predominantly minority artists in various disciplines through educational and literary events qualified for exemption under section 501(c)(3) as an educational organization"
"MARTIN LUTHER KING JR COMMITTEE OF THE NEW HOPE COMMUNITY","Arts, Culture, and Humanities","Commitment to Civil Rights and activism"
"ONE ONE SIX TWO SPACE CORP ","Arts, Culture, and Humanities","TO PROVIDE A VENUE FOR ASPIRING MINORITY ARTISTS TO SHOWCASE THEIR WORKS OF ARTS/PAINTINGS AND TO FOSTER CULTURAL AWARENESS THROUGH ARTS."
"PHOENIX WORLD ARTS COLLECTIVE ","Arts, Culture, and Humanities","OUR MISSION IS TO PROMOTE CULTURAL DIVERSITY AND ARTISTIC EXCELLENCE, AS WELL AS INSPIRE THE COMMUNITY BY BRIDGING PEOPLE OF ALL AGES AND BACKGROUNDS TO THE BEAUTY OF WORLD ARTS THROUGH EDUCATIONAL MULTICULTURAL EVENTS AND PROGRAMS."
"RALPH BUNCHE ARTS AND HUMANITIES CENTER","Arts, Culture, and Humanities","A service for the promotion of the Arts and Humanities providing entertainment, cultural education, and exhibitions of local and national level African American History."
"MYSTIC RIVER THEATER COMPANY INC ","Arts, Culture, and Humanities","Theater organization created by and for teens, with an emphasis on inclusion/LGBT teens. Creating a community through digital/remote access."
"NINA SIMONE PROJECT ","Arts, Culture, and Humanities","To celebrate the remarkable life and legacy of Nina Simone, and her extensive global contributions to the progress of American popular music and civil rights activism."
"TENNESSEE RIVER ARTIST BLACKSMITHS ASSOCIATION","Arts, Culture, and Humanities","To provide a social forum to provide opportunities for rural West Tennesseans to perform blacksmithing."
"INDIA FESTIVALUSA ","Arts, Culture, and Humanities","India Festival USA mission is to Bridge Cultures, Generations  Communities thru one-day of togetherness. Visitors are encouraged to participate in a thematic display of the rich culture and diversity of two of the greatest nations on the earth."
"BLACK WOMENS HISTORY CONFERENCE INC ","Arts, Culture, and Humanities","TO EDUCATE OURSELVES AND THE COMMUNITIES THE HISTORY OF BLACK WOMEN"
"MARVIN BENDANA ","Arts, Culture, and Humanities","Youth program for children in low-income communities, focused on workshops celebrating indigenous and Latin American cultural practices.  This program is focused on art, education, and diversity."
"5 CENTS FOUNDATION ","Arts, Culture, and Humanities","Our core mission  is to create an accessible educational resource focused on early education, particularly in fields of music, photography, literacy and handicrafts, for residents of Alabama's Black Belt region."
"TAINO DANCE COMPANY ","Arts, Culture, and Humanities","Taino Dance Company, LLC shall operate exclusively to inspire  promote dance arts, education, cultural awareness, health and well being, diversity, unity, sense of community, putting on events with this purpose."
"SPIRITUAL ESSENCES INC ","Arts, Culture, and Humanities","The purpose for creation of the Spiritual Essences, Inc is to promote African culture and heritage, throughout communities we live in by enhancing cultural diversity via spiritual guidance, community festivities, and heritage education."
"THE FOOLS COLLABORATIVE ","Arts, Culture, and Humanities","The mission of The Fools Collaborative is to create collaborative artwork to share with the public that brings awareness to various community-orientated and social justice causes."
"THE BLUE TRIANGLE QUILT GUILD OF HOUSTON TEXAS","Arts, Culture, and Humanities","Significant Activities: Black Heritage Day at Rodeo teaching 200 children how to sew a quilt square; 80+ bibs Meals on Wheels; 30+ bibs Golden Age Hobby House; Heart Hug Pillows  TX Children's Hospital; 50+ quilts for baby dedication at a church"
"BENNYS BOOKS ","Arts, Culture, and Humanities","Encourage literacy, the advancement of fine arts, and cultural diversity by promoting through picturesque children's books by creating, fundraising, printing, and distributing to communities with low retention in public education."
"CHIHAMBA OF DANCESCAPE LTD ","Arts, Culture, and Humanities","The most significant activity is the African American Cultural Arts Festival which is held annually. The festival celebrates the rich heritage of people of African ancestry and their contributions to the community, nation and world."
"KPS OF MICHIGAN INC ","Arts, Culture, and Humanities","Mission  Preserve and promote Gujarati heritage by providing  exposure and opportunities to the membership  Vision  Preserve Gujarati cultural and linguistic heritage through  diversity and sense of belonging for the upcoming and future  generations"
"FINLANDIA FOUNDATION OF MONTANA ","Arts, Culture, and Humanities","The Finlandia Foundation is a non-profit corporation, public charity, and an advocate for global diversity and is dedicated to the preservation of Finnish- and Scandinavian-American cultural heritage in Montana and the Rocky Mountain region."
"SPARK ART INC ","Arts, Culture, and Humanities","To promote healing through art by engaging in hands on art projects with special needs children, children with disabilities the elderly and persons and their families in hospice or other distress. To promote diversity and community through the arts."
"BRAZILIAN ARTS CENTER ","Arts, Culture, and Humanities","The Brazilian Arts Center's mission is to spread Brazilian arts, strengthen cultural diversity,  use arts as a social tool to empower individuals and unite communities."
"INTERNATIONAL FOUNDATION FOR ARTS SCIENCES AND EDUCATION","Arts, Culture, and Humanities","To raise awareness of global interdependence and celebrate the richness of culture diversity by identifying, promoting and supporting international programming and exchanges between students, faculty, professionals, and lay community members."
"CITIZEN VOICE ","Arts, Culture, and Humanities","To promote harmony and peace in the community by protecting the rights of all citizens and foster diversity."
